"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","SauceDemo site Automation journey","6","0","","0"
"0","","0","SauceDemo site Automation Product Pruchase journey","6","0","","0"
"0","","0","SauceDemo site Automation Product Pruchase journey1","6","0","","0"
